,"[0,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)",80+
"[0,20)",1.045283407,0.526948551,0.687834053,0.764086445,0.460293855,0.273652625,0.094264344,0.017993369
"[20,30)",0.579283316,1.650752085,0.4646205,0.432300613,0.284232321,0.077389193,0.084910791,0.025353173
"[30,40)",0.380980273,0.580839911,0.73034862,0.49962286,0.162123926,0.325574098,0.109568884,0.031044562
"[40,50)",0.29257261,0.476766202,0.648245502,1.010348628,0.737942581,0.225304587,0.080013122,0.00584041
"[50,60)",0.167466159,0.329765408,0.421237785,0.547739706,0.780460735,0.389860111,0.100419035,0.104957246
"[60,70)",0.157706052,0.120624427,0.326047335,0.409837269,0.263334434,0.787624304,0.129034049,0.046722189
"[70,80)",0.029314735,0.085297161,0.485808089,0.311167632,0.203315946,0.374184474,0.307828494,0.148388932
80+,0.150204847,0.179907105,0.094425517,0.229147509,0.172509986,0.242882967,0.299824411,0.186369823
