reg,cl_age90,jour,hosp,rea,rad,dc
94,19,02/05/2020,0,0,1,0
94,29,02/05/2020,0,0,14,0
94,39,02/05/2020,0,0,16,0
94,49,02/05/2020,1,0,22,1
94,59,02/05/2020,4,1,30,1
94,69,02/05/2020,9,3,30,2
94,79,02/05/2020,20,4,31,13
94,89,02/05/2020,14,0,28,24
94,90,02/05/2020,9,0,13,9
1,0,03/05/2020,16,6,72,17
1,9,03/05/2020,0,0,0,0
1,19,03/05/2020,0,0,2,0
1,29,03/05/2020,0,0,1,0
1,39,03/05/2020,1,0,3,0
1,49,03/05/2020,0,0,5,0
1,59,03/05/2020,1,0,18,3
1,69,03/05/2020,6,3,17,2
1,79,03/05/2020,4,2,12,7
1,89,03/05/2020,4,1,13,4
1,90,03/05/2020,0,0,0,1
2,0,03/05/2020,21,8,77,14
2,9,03/05/2020,0,0,0,0
2,19,03/05/2020,0,0,0,0
2,29,03/05/2020,0,0,3,0
2,39,03/05/2020,0,0,4,0
2,49,03/05/2020,1,1,12,0
2,59,03/05/2020,9,5,17,1
2,69,03/05/2020,4,1,19,2
2,79,03/05/2020,5,0,15,4
2,89,03/05/2020,2,1,6,5
2,90,03/05/2020,0,0,1,2
3,0,03/05/2020,2,0,36,1
3,9,03/05/2020,0,0,0,0
3,19,03/05/2020,1,0,2,0
3,29,03/05/2020,0,0,4,0
3,39,03/05/2020,0,0,7,0
3,49,03/05/2020,1,0,10,0
3,59,03/05/2020,0,0,2,0
3,69,03/05/2020,0,0,4,0
3,79,03/05/2020,0,0,3,1
3,89,03/05/2020,0,0,2,0
3,90,03/05/2020,0,0,0,0
4,0,03/05/2020,4,2,111,0
4,9,03/05/2020,0,0,1,0
4,19,03/05/2020,0,0,4,0
4,29,03/05/2020,0,0,18,0
4,39,03/05/2020,0,0,13,0
4,49,03/05/2020,0,0,11,0
4,59,03/05/2020,1,0,19,0
4,69,03/05/2020,3,2,21,0
4,79,03/05/2020,0,0,16,0
4,89,03/05/2020,0,0,8,0
4,90,03/05/2020,0,0,0,0
6,0,03/05/2020,38,6,97,8
6,9,03/05/2020,0,0,2,0
6,19,03/05/2020,1,0,4,0
6,29,03/05/2020,5,0,13,0
