"","[0,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","80+"
"[0,10)",0.49843804275814,0.210388027986579,0.156953947023808,0.417718402718523,0.310850799216573,0.184903384612781,0.117343812696252,0.0210037671292555,0.00754654393252654
"[10,20)",0.137693431444052,1.22089102416901,0.231941158598102,0.215417404260055,0.392314895922113,0.136790756610753,0.0654258376189416,0.0590761014105502,0.0114511733276763
"[20,30)",0.0566076355518405,0.52267568088607,1.6507520845196,0.46462049990776,0.432300612827835,0.284232321020393,0.0773891928223569,0.0849107913031181,0.0253531734107115
"[30,40)",0.273346219985913,0.107634053392098,0.580839911111717,0.730348619595571,0.49962286043353,0.162123926499511,0.325574097695102,0.109568884119045,0.0310445619592615
"[40,50)",0.0818155841214484,0.210757026184697,0.476766201688758,0.648245502323865,1.0103486275423,0.737942581488775,0.225304586929043,0.0800131217667651,0.00584041031260463
"[50,60)",0.124723480012484,0.0427426791901096,0.329765407945766,0.421237784515456,0.547739706074478,0.780460734679164,0.389860111465322,0.100419035041116,0.10495724571023
"[60,70)",0.0884691486287834,0.0692369031515402,0.120624426838143,0.326047334915729,0.409837269194145,0.263334434244753,0.787624303675132,0.129034048979906,0.0467221891390202
"[70,80)",0.0145869185102251,0.0147278168124314,0.0852971613541618,0.485808089430217,0.311167631930587,0.203315945647543,0.374184473562126,0.307828493675533,0.148388931588737
"80+",0.0227792445291515,0.127425602000775,0.179907104663112,0.0944255171901083,0.229147509240378,0.172509986025641,0.242882966621251,0.299824410626574,0.18636982299236
