,date,region,hosp_pred,icu_pred
40,09/04/2020,ARA,2629.662516,664.831712
41,10/04/2020,ARA,2589.89775,649.7592884
42,11/04/2020,ARA,2591.434815,646.7058246
43,12/04/2020,ARA,2622.077745,640.6054381
44,13/04/2020,ARA,2635.611825,626.5556608
45,14/04/2020,ARA,2533.924307,602.2959543
46,15/04/2020,ARA,2454.458222,583.012353
47,16/04/2020,ARA,2391.288711,563.8955416
48,17/04/2020,ARA,2279.420889,535.679839
49,18/04/2020,ARA,2310.778689,540.6533316
50,19/04/2020,ARA,2328.266101,542.5943034
51,20/04/2020,ARA,2220.717396,521.5094072
52,21/04/2020,ARA,2146.318259,488.8770614
53,22/04/2020,ARA,2066.098161,456.3843675
54,23/04/2020,ARA,1998.811441,439.0577291
55,24/04/2020,ARA,1926.457248,416.5813107
56,25/04/2020,ARA,1925.350693,415.515531
57,26/04/2020,ARA,1939.536094,408.1828186
58,27/04/2020,ARA,1815.522063,373.3494185
59,28/04/2020,ARA,1736.888921,364.9497325
60,29/04/2020,ARA,1656.701265,350.3923031
61,30/04/2020,ARA,1555.12799,334.5960405
62,01/05/2020,ARA,1571.68846,325.0511918
63,02/05/2020,ARA,1578.890038,325.9958781
64,03/05/2020,ARA,1599.90727,322.7864224
65,04/05/2020,ARA,1487.623624,300.9992299
66,05/05/2020,ARA,1404.159386,282.1305712
67,06/05/2020,ARA,1299.131045,264.0816406
68,07/05/2020,ARA,1233.138066,239.9166931
70,01/03/2020,BFC,2,0
71,02/03/2020,BFC,5,0
72,03/03/2020,BFC,7,0
73,04/03/2020,BFC,11,0
74,05/03/2020,BFC,18,2
75,06/03/2020,BFC,28,2
76,07/03/2020,BFC,32,2
77,08/03/2020,BFC,36,3
78,09/03/2020,BFC,48,5
79,10/03/2020,BFC,64,6
80,11/03/2020,BFC,74,8
81,12/03/2020,BFC,88,11
82,13/03/2020,BFC,107,10
83,14/03/2020,BFC,121,16
84,15/03/2020,BFC,143,17
85,16/03/2020,BFC,222,36
86,17/03/2020,BFC,246,50
87,18/03/2020,BFC,298,61
88,19/03/2020,BFC,346,70
89,20/03/2020,BFC,401,86
90,21/03/2020,BFC,475,106
91,22/03/2020,BFC,516,107
92,23/03/2020,BFC,604,133
93,24/03/2020,BFC,674,154
94,25/03/2020,BFC,772,180
95,26/03/2020,BFC,848,199
96,27/03/2020,BFC,938,225
97,28/03/2020,BFC,1030,251
98,29/03/2020,BFC,1101,273
99,30/03/2020,BFC,1132.953681,284
100,31/03/2020,BFC,1205.93731,301.9940797
101,01/04/2020,BFC,1212.92677,311.9940797
102,02/04/2020,BFC,1210.888958,319.9940797
103,03/04/2020,BFC,1224.837644,329.9984356
104,04/04/2020,BFC,1259.836457,334.9975623
105,05/04/2020,BFC,1286.774373,329.9815366
106,06/04/2020,BFC,1255.515832,325.0007318
107,07/04/2020,BFC,1219.224249,319.9384208
108,08/04/2020,BFC,1195.965317,314.9400044
109,09/04/2020,BFC,1190.893261,309.9385322
110,10/04/2020,BFC,1164.493749,301.9075668
111,11/04/2020,BFC,1167.22824,296.8730358
112,12/04/2020,BFC,1178.980957,296.8369311
113,13/04/2020,BFC,1212.879925,302.8664011
114,14/04/2020,BFC,1156.083354,293.7501169
115,15/04/2020,BFC,1119.46435,293.6861001
116,16/04/2020,BFC,1107.909581,277.5916585
117,17/04/2020,BFC,1079.28199,259.4615637
118,18/04/2020,BFC,1071.805177,259.4190641
119,19/04/2020,BFC,1079.504331,257.3504706
120,20/04/2020,BFC,1042.606514,243.2747646
121,21/04/2020,BFC,995.4026736,235.0771529
122,22/04/2020,BFC,940.0826831,221.8585655
123,23/04/2020,BFC,901.8684637,206.5935494
124,24/04/2020,BFC,876.3010942,196.3544048
125,25/04/2020,BFC,869.5578513,188.1642013
126,26/04/2020,BFC,852.8384329,185.0216103
127,27/04/2020,BFC,799.6966799,172.7245189
128,28/04/2020,BFC,756.5010973,160.2758548
129,29/04/2020,BFC,721.5899422,160.1886623
130,30/04/2020,BFC,680.9014061,151.8038868
131,01/05/2020,BFC,681.4564938,147.565215
132,02/05/2020,BFC,682.0882293,145.4160899
133,03/05/2020,BFC,685.9079843,139.0644224
134,04/05/2020,BFC,643.9830472,129.2548558
135,05/05/2020,BFC,598.8968367,114.7749116
136,06/05/2020,BFC,561.8752001,110.3535615
137,07/05/2020,BFC,495.1910052,109.7050926
139,01/03/2020,BRE,5,0
140,02/03/2020,BRE,3,0
141,03/03/2020,BRE,8,0
142,04/03/2020,BRE,11,2
143,05/03/2020,BRE,15,4
144,06/03/2020,BRE,19,4
145,07/03/2020,BRE,22,4
146,08/03/2020,BRE,26,5
147,09/03/2020,BRE,31,6
148,10/03/2020,BRE,38,10
149,11/03/2020,BRE,41,11
150,12/03/2020,BRE,51,14
151,13/03/2020,BRE,56,17
152,14/03/2020,BRE,59,17
153,15/03/2020,BRE,78,21
154,16/03/2020,BRE,76,25
155,17/03/2020,BRE,83,27
156,18/03/2020,BRE,96,26
157,19/03/2020,BRE,112,28
158,20/03/2020,BRE,122,32
159,21/03/2020,BRE,143,37
160,22/03/2020,BRE,151,34
161,23/03/2020,BRE,180,40
162,24/03/2020,BRE,193,40
163,25/03/2020,BRE,243,46
164,26/03/2020,BRE,261,51
165,27/03/2020,BRE,279,53
166,28/03/2020,BRE,308,59
167,29/03/2020,BRE,327,65
168,30/03/2020,BRE,327.984702,67
169,31/03/2020,BRE,337.9765519,76.99838536
170,01/04/2020,BRE,357.9769929,75.99838536
171,02/04/2020,BRE,358.9669442,77.99838536
172,03/04/2020,BRE,358.951107,75.99709063
173,04/04/2020,BRE,365.9482999,73.99120273
174,05/04/2020,BRE,375.9255864,70.98586085
175,06/04/2020,BRE,348.8157166,61.98562107
176,07/04/2020,BRE,339.7230798,59.96341007
177,08/04/2020,BRE,353.663673,58.96777337
178,09/04/2020,BRE,352.6342899,54.9638156
179,10/04/2020,BRE,351.5199465,53.95707224
180,11/04/2020,BRE,362.4114943,51.94278525
181,12/04/2020,BRE,371.3179695,54.93882154
182,13/04/2020,BRE,369.2593235,56.94831751
183,14/04/2020,BRE,346.9427032,54.9266753
184,15/04/2020,BRE,326.652694,52.89552664
185,16/04/2020,BRE,319.4851193,50.88260255
186,17/04/2020,BRE,292.1359809,47.85896893
187,18/04/2020,BRE,289.9330895,45.84252672
188,19/04/2020,BRE,298.9054086,46.83988034
189,20/04/2020,BRE,276.4433214,39.79421019
190,21/04/2020,BRE,266.0637782,38.76232231
191,22/04/2020,BRE,255.7338179,38.74891831
192,23/04/2020,BRE,243.3388237,33.6619346
193,24/04/2020,BRE,225.7315461,32.63481371
194,25/04/2020,BRE,221.5552496,31.61570543
195,26/04/2020,BRE,222.4703983,29.53963502
196,27/04/2020,BRE,208.8355642,26.46954157
197,28/04/2020,BRE,200.3521117,27.47398273
198,29/04/2020,BRE,200.0967224,26.4398282
199,30/04/2020,BRE,187.169782,26.42365338
200,01/05/2020,BRE,184.9364567,26.40797942
201,02/05/2020,BRE,183.503886,25.35633623
202,03/05/2020,BRE,183.3130903,24.29996644
203,04/05/2020,BRE,169.0552579,19.94123582
204,05/05/2020,BRE,158.9063755,21.0644091
205,06/05/2020,BRE,148.7033698,19.95907159
206,07/05/2020,BRE,147.4447966,21.71581557
208,01/03/2020,COR,0,0
209,02/03/2020,COR,0,0
210,03/03/2020,COR,0,0
211,04/03/2020,COR,0,0
212,05/03/2020,COR,1,0
213,06/03/2020,COR,4,0
214,07/03/2020,COR,6,0
215,08/03/2020,COR,6,0
216,09/03/2020,COR,6,0
217,10/03/2020,COR,7,0
218,11/03/2020,COR,7,0
219,12/03/2020,COR,12,0
220,13/03/2020,COR,14,1
221,14/03/2020,COR,14,1
222,15/03/2020,COR,10,1
223,16/03/2020,COR,10,1
224,17/03/2020,COR,25,5
225,18/03/2020,COR,41,11
226,19/03/2020,COR,41,11
227,20/03/2020,COR,43,11
228,21/03/2020,COR,48,12
229,22/03/2020,COR,52,14
230,23/03/2020,COR,55,17
231,24/03/2020,COR,62,19
232,25/03/2020,COR,67,20
233,26/03/2020,COR,69,19
234,27/03/2020,COR,76,20
235,28/03/2020,COR,80,23
236,29/03/2020,COR,83,25
237,30/03/2020,COR,83.99872517,24
238,31/03/2020,COR,87.99757611,27
239,01/04/2020,COR,87.99723785,27
240,02/04/2020,COR,91.99630346,29
241,03/04/2020,COR,90.99354823,26.99889104
242,04/04/2020,COR,92.99320506,26.99889104
243,05/04/2020,COR,89.98714812,25.99675428
244,06/04/2020,COR,88.98314438,24.99618318
245,07/04/2020,COR,89.979684,23.98846944
246,08/04/2020,COR,86.96106022,23.99002581
247,09/04/2020,COR,81.95113754,23.99042296
248,10/04/2020,COR,73.91606344,20.98398174
249,11/04/2020,COR,75.9039042,19.98039751
250,12/04/2020,COR,78.89843218,21.98310387
251,13/04/2020,COR,78.88366069,21.98359489
252,14/04/2020,COR,74.84067067,19.96951038
253,15/04/2020,COR,73.8075564,20.96784941
254,16/04/2020,COR,73.79704064,18.95691447
255,17/04/2020,COR,59.66063724,16.9421343
256,18/04/2020,COR,59.60508776,16.9421343
257,19/04/2020,COR,60.56390996,17.93948793
258,20/04/2020,COR,52.43479992,15.92569483
259,21/04/2020,COR,52.40352732,14.90817977
260,22/04/2020,COR,49.33448829,12.8807374
261,23/04/2020,COR,49.31241302,12.8807374
262,24/04/2020,COR,43.13643206,12.8807374
263,25/04/2020,COR,44.14326633,12.8807374
264,26/04/2020,COR,45.15004913,12.86174713
265,27/04/2020,COR,38.95669168,11.83838265
266,28/04/2020,COR,33.71498632,11.83838265
267,29/04/2020,COR,33.65113901,10.80422811
268,30/04/2020,COR,33.57710642,10.80422811
269,01/05/2020,COR,32.47648878,10.80422811
270,02/05/2020,COR,31.40793405,10.80422811
271,03/05/2020,COR,31.40793405,10.80422811
272,04/05/2020,COR,30.31369747,10.80422811
273,05/05/2020,COR,26.94104714,8.575211324
274,06/05/2020,COR,23.45806965,7.424432508
275,07/05/2020,COR,20.65205106,7.424432508
277,01/03/2020,CVL,0,0
278,02/03/2020,CVL,0,0
279,03/03/2020,CVL,0,0
280,04/03/2020,CVL,2,0
281,05/03/2020,CVL,3,0
282,06/03/2020,CVL,5,0
283,07/03/2020,CVL,6,0
284,08/03/2020,CVL,7,0
285,09/03/2020,CVL,9,0
